# Experiment,T,t (min),mu0,mu1,mu2,mu3,C
0.000000000000000000e+00,3.985999999999999943e+01,5.000000000000000000e+00,1.478009999999999991e+03,2.299581999999999971e+04,1.800863239999999991e+06,2.485161679399999976e+08,1.586681932437231657e-01
0.000000000000000000e+00,3.986999999999999744e+01,6.250000000000000000e+00,2.476869999999999891e+03,2.982974000000000160e+04,1.845571770000000019e+06,2.772265501100000143e+08,1.585813060173634492e-01
0.000000000000000000e+00,3.996999999999999886e+01,7.516666999999999987e+00,3.212469999999999800e+03,4.379412000000000262e+04,2.174393979999999981e+06,3.099196513000000119e+08,1.592745897768628738e-01
0.000000000000000000e+00,4.004999999999999716e+01,8.766666999999999987e+00,4.307270000000000437e+03,5.997704000000000087e+04,2.600815529999999795e+06,3.209895662200000286e+08,1.567828893310384275e-01
0.000000000000000000e+00,4.003999999999999915e+01,1.003332999999999942e+01,6.169279999999999745e+03,8.092794000000000233e+04,3.034353120000000112e+06,3.795594385199999809e+08,1.598228333953584934e-01
0.000000000000000000e+00,4.003000000000000114e+01,1.128332999999999942e+01,6.668310000000000400e+03,1.014191300000000047e+05,4.376639219999999739e+06,4.388906607699999809e+08,1.580905996739780384e-01
0.000000000000000000e+00,3.978999999999999915e+01,1.255000000000000071e+01,9.700000000000000000e+03,1.465647500000000000e+05,4.849748959999999963e+06,5.006471347900000215e+08,1.571141106258525655e-01
0.000000000000000000e+00,3.940999999999999659e+01,1.380000000000000071e+01,1.085353000000000065e+04,1.814557999999999884e+05,6.898135940000000410e+06,5.653136817000000477e+08,1.560850317183136438e-01
0.000000000000000000e+00,3.900000000000000000e+01,1.506667000000000023e+01,1.559129000000000087e+04,2.365050100000000093e+05,7.899952019999999553e+06,6.516896184700000286e+08,1.573363189672212781e-01
0.000000000000000000e+00,3.864000000000000057e+01,1.631666999999999845e+01,1.934959999999999854e+04,3.057001799999999930e+05,1.107425103999999911e+07,7.819691307500000000e+08,1.584881854397447165e-01
0.000000000000000000e+00,3.842000000000000171e+01,1.758333000000000013e+01,2.415945999999999913e+04,4.114563599999999860e+05,1.486451015000000037e+07,9.738077560299999714e+08,1.563884422830877086e-01
0.000000000000000000e+00,3.825000000000000000e+01,1.883333000000000013e+01,2.734990000000000146e+04,5.412859799999999814e+05,1.814935339000000060e+07,1.207587421200000048e+09,1.557587365004780566e-01
0.000000000000000000e+00,3.817000000000000171e+01,2.010000000000000142e+01,3.571259999999999854e+04,6.677839100000000326e+05,2.341738914000000060e+07,1.413748347990000010e+09,1.542421624034869820e-01
0.000000000000000000e+00,3.813000000000000256e+01,2.135000000000000142e+01,4.177851999999999680e+04,8.036659499999999534e+05,2.511433248999999836e+07,1.705027845970000029e+09,1.542447757192528801e-01
0.000000000000000000e+00,3.809000000000000341e+01,2.261666999999999916e+01,4.820487000000000262e+04,8.620814799999999814e+05,2.957904753999999911e+07,1.922269062559999943e+09,1.549598326901393264e-01
0.000000000000000000e+00,3.795000000000000284e+01,2.388333000000000084e+01,5.764906999999999971e+04,1.098477800000000047e+06,3.265184164000000060e+07,2.236002822590000153e+09,1.510987694639903123e-01
0.000000000000000000e+00,3.763000000000000256e+01,2.513333000000000084e+01,6.786891999999999825e+04,1.140779429999999935e+06,4.022028346000000089e+07,2.380381371469999790e+09,1.525468484433435135e-01
0.000000000000000000e+00,3.721000000000000085e+01,2.639999999999999858e+01,8.341344000000000233e+04,1.362519399999999907e+06,4.892292157999999821e+07,2.649878289670000076e+09,1.516761947414765055e-01
0.000000000000000000e+00,3.681000000000000227e+01,2.764999999999999858e+01,9.628244999999999709e+04,1.318462149999999907e+06,5.058956089000000060e+07,3.077741010639999866e+09,1.500580217925952531e-01
0.000000000000000000e+00,3.653999999999999915e+01,2.891666999999999987e+01,1.101456799999999930e+05,1.640148060000000056e+06,5.824928845000000298e+07,3.373502056750000000e+09,1.484083849329520255e-01
